YEAR;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;;;;
;;;;;;;;;;;;;;;;
Austria;164;129;632;2 233;2 202;1411;1291;579;370;580;571;288;;;;
Belgium;80;16;124;690;853;1030;1325;1118;1395;800;500;233;;;;
Bulgaria;21;3;27;72;114;116;98;35;52;89;102;46;;;;
Croatia;0;7;10;57;129;78;122;49;131;109;0;0;;;;
Cyprus;0;2;8;2;0;17;2;3;7;9;16;2;;;;
Czechia;96;51;696;1 347;752;667;627;585;2521;1233;737;324;;;;
Denmark;54;80;2 390;3 691;1 023;1068;2096;945;762;484;980;373;;;;
Estonia;8;13;44;135;69;56;74;77;43;55;149;478;;;;
Finland;35;33;290;557;477;401;432;165;206;192;541;555;;;;
France;45;0;34;36;140;0;60;0;83;166;196;92;;;;
Germany;1 191;776;3 212;9 485;12 494;15957;13437;9000;12339;0;0;0;;;;
Greece;1;0;8;20;18;40;87;17;15;40;56;3;;;;
Hungary;2;0;13;7;23;15;5;5;20;20;5;9;;;;
Iceland;0;0;0;6;15;20;15;118;73;174;458;229;;;;
Ireland;7;5;66;164;118;263;213;503;670;523;489;516;;;;
Italy;62;5;189;755;962;964;965;210;81;201;257;10;;;;
Latvia;46;9;340;719;159;94;256;60;143;65;154;30;;;;
Liechtenstein;0;0;0;0;0;0;0;0;6;28;11;4;;;;
Lithuania;2;0;68;26;27;21;36;0;1;3;3;20;;;;
Luxembourg;3;3;3;10;9;18;7;6178;8067;2982;12853;5447;;;;
Malta;0;0;10;15;6;8;0;4956;2100;2182;4684;1669;;;;
Netherlands;129;74;1 124;5 885;4 312;4506;5080;238;74;106;237;32;;;;
Norway;44;38;812;2 536;2 476;2424;2205;98;87;57;83;86;;;;
Poland;371;182;753;1 629;1 548;3066;6828;334;1123;907;950;936;;;;
Portugal;8;3;33;83;60;115;563;68;399;169;178;284;;;;
Romania;9;1;18;110;93;95;72;6863;2607;1678;1804;2325;;;;
Slovakia;109;92;700;702;376;191;289;603;703;237;289;177;;;;
Slovenia;51;6;42;129;213;214;127;5482;4043;6077;11986;1256;;;;
Spain;72;39;206;2 585;2 681;4069;4095;38289;38121;19166;38289;15424;;;;
Sweden;13;11;269;782;739;805;679;4;0;31;36;0;;;;
United Kingdom;0;0;0;4 489;3 557;4513;7360;1902;3032;2608;4247;4405;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;